run_id,task,combo,passed,tests_total,pass_rate,wall_s,requests,budget_spent,tool_calls,tokens_input,tokens_output,tokens_reasoning,tokens_total,cost,invalid,flags
20260714T133216Z_csv-bugfix_plansolo_r1,csv-bugfix,plansolo,25,25,1.0,281.6,21,20,16,218611,3346,0,285050,0.0,False,
20260714T133659Z_csv-bugfix_plansolo_r2,csv-bugfix,plansolo,25,25,1.0,900.1,13,9,13,115570,1613,0,155912,0.0,False,timeout_p1
20260714T135201Z_csv-bugfix_plansolo_r3,csv-bugfix,plansolo,25,25,1.0,492.6,17,22,11,160827,9234,0,217847,0.0,False,
20260714T140015Z_csv-bugfix_solo-dsv4_r1,csv-bugfix,solo-dsv4,25,25,1.0,127.2,25,26,24,374498,2619,0,377117,0.0,False,
20260714T140224Z_csv-bugfix_solo-dsv4_r2,csv-bugfix,solo-dsv4,25,25,1.0,170.6,35,36,34,707678,7762,0,715440,0.0,False,
20260714T140516Z_csv-bugfix_solo-dsv4_r3,csv-bugfix,solo-dsv4,25,25,1.0,145.5,25,26,24,472835,6585,0,479420,0.0,False,
20260714T140743Z_csv-bugfix_planbuild-dsv4_r1,csv-bugfix,planbuild-dsv4,25,25,1.0,900.1,4,,4,34609,2172,0,36781,0.0,False,timeout_p1
20260714T142245Z_csv-bugfix_planbuild-dsv4_r2,csv-bugfix,planbuild-dsv4,25,25,1.0,677.7,12,190,15,199188,2591,0,201779,0.0,False,
20260714T142514Z_csv-bugfix_solo-dsv4_r1,csv-bugfix,solo-dsv4,0,0,0.0,128.0,25,,24,346021,4628,0,350649,0.0,False,
20260714T142516Z_csv-bugfix_planbuild-dsv4_r1,csv-bugfix,planbuild-dsv4,0,0,0.0,637.0,14,,14,221128,2673,0,223801,0.0,False,
20260714T142724Z_spreadsheet_solo-dsv4_r1,spreadsheet,solo-dsv4,0,0,0.0,299.7,26,,25,833726,29001,0,862727,0.0,False,
20260714T143225Z_spreadsheet_planbuild-dsv4_r1,spreadsheet,planbuild-dsv4,0,0,0.0,1131.6,29,,27,1502554,28365,0,1530919,0.0,True,budget_exhausted_p2;exit_1_p2
20260714T143404Z_csv-bugfix_planbuild-dsv4_r3,csv-bugfix,planbuild-dsv4,25,25,1.0,900.2,21,7,21,582360,24155,0,606515,0.0,False,timeout_p1
